Unit Test cases,Team Member(s) Testing Code,Complete / Ongoing / Abandoned,Ticket_ids raised,Date of Ticket Generation,Date of Ticket Resolution,Description of test case,module tested,result(success/failure),description of result,Risk Management
should create a user with all required fields,Ridham Shah,Complete,TC-001,2026-03-05,2026-03-05,Verifies that a User document is created with firebaseUid email and name fields,User Model,Success,User created successfully with all required fields stored correctly,
should apply default role as student,Atharv Dhuvad,Complete,TC-002,2026-03-07,2026-03-07,Checks that the default role assigned to a new user is student,User Model,Success,Default role correctly set to student when no role is specified,
should reject an invalid role via enum validation,Shrey Shah,Complete,TC-003,2026-03-06,2026-03-06,Ensures ValidationError is thrown when an invalid role like superadmin is provided,User Model,Success,ValidationError thrown as expected for invalid role enum value,
should fail when firebaseUid is missing,Pranav Nair,Complete,TC-004,2026-03-09,2026-03-09,Validates that user creation fails without a firebaseUid field,User Model,Success,ValidationError correctly raised for missing required field,
should reject duplicate email,Ridham Shah,Complete,TC-005,2026-03-10,2026-03-12,Tests unique constraint enforcement on the email field,User Model,Failure,Intermittent failure - duplicate key error not consistently thrown due to index creation timing,"Mitigated by adding ensureIndexes() call in test setup to guarantee index build completion before running constraint tests; added retry logic for CI pipeline"
should update updatedAt on save,Shrey Shah,Complete,TC-006,2026-03-08,2026-03-08,Verifies the pre-save hook updates the updatedAt timestamp on modification,User Model,Success,updatedAt timestamp correctly updated after modifying and saving the document,
should create an exam with all required fields,Pranav Nair,Complete,TC-007,2026-03-05,2026-03-05,"Validates exam creation with title, teacherId, questions, scheduledAt, duration, and endTime",Exam Model,Success,Exam document created with all fields correctly stored and referenced,
should apply default settings,Atharv Dhuvad,Complete,TC-008,2026-03-11,2026-03-11,"Checks default exam settings like shuffleQuestions, requireWebcam are applied",Exam Model,Success,"All default settings applied correctly including shuffleQuestions=false, requireWebcam=true",
should validate question type enum,Ridham Shah,Complete,TC-009,2026-03-12,2026-03-12,Ensures invalid question types are rejected by schema validation,Exam Model,Success,ValidationError thrown for invalid_type question type,
should calculate total points from questions,Shrey Shah,Complete,TC-010,2026-03-13,2026-03-13,Tests the totalPoints virtual field calculation from question points,Exam Model,Success,Virtual totalPoints correctly sums individual question points (10+20+30=60),
should fail without title,Pranav Nair,Complete,TC-011,2026-03-07,2026-03-07,Validates that exam creation fails when title is not provided,Exam Model,Success,ValidationError raised for missing required title field,
should handle an exam with many questions,Atharv Dhuvad,Complete,TC-012,2026-03-14,2026-03-15,Tests exam creation and totalPoints calculation with 100 questions,Exam Model,Failure,Test timed out when creating exam with 100 MCQ questions due to validation overhead on each subdocument,"Increased Jest timeout to 30s for bulk operation tests; added batch validation optimization to reduce per-question schema validation overhead; documented as known slow test"
should create session with required fields,Shrey Shah,Complete,TC-013,2026-03-06,2026-03-06,"Verifies ProctoringSession creation with submissionId, studentId, and examId",Proctoring Model,Success,Session created with all required ObjectId references stored correctly,
should apply correct defaults,Ridham Shah,Complete,TC-014,2026-03-08,2026-03-08,"Checks default values for status, trustScore, faceDetectionEnabled, and summary fields",Proctoring Model,Success,"All defaults applied: status=active, trustScore=100, faceDetectionEnabled=true",
should reject invalid session status,Pranav Nair,Complete,TC-015,2026-03-10,2026-03-10,Ensures invalid session status values are rejected by schema validation,Proctoring Model,Success,ValidationError thrown for status=invalid as expected,
should calculate totalEvents from events array,Atharv Dhuvad,Complete,TC-016,2026-03-15,2026-03-17,Tests pre-save hook that calculates summary.totalEvents from events array length,Proctoring Model,Failure,Summary calculation returned stale count when events were modified after initial save without triggering pre-save hook,"Implemented re-calculation on every save instead of only on new documents; added regression test for event modification after initial save; updated pre-save hook to always recalculate summary"
should accept trustScore at minimum 0,Shrey Shah,Complete,TC-017,2026-03-11,2026-03-11,Validates that trustScore boundary value of 0 is accepted,Proctoring Model,Success,TrustScore of 0 stored correctly without validation error,
should fail without submissionId,Ridham Shah,Complete,TC-018,2026-03-09,2026-03-09,Validates that session creation fails without submissionId,Proctoring Model,Success,ValidationError raised for missing required submissionId field,
should create notification with required fields,Pranav Nair,Complete,TC-019,2026-03-05,2026-03-05,"Verifies Notification creation with userId, type, title, and message",Supporting Models (Notification),Success,Notification created with all fields correctly stored,
should apply notification defaults,Atharv Dhuvad,Complete,TC-020,2026-03-07,2026-03-07,Checks default values for isRead and priority on notification creation,Supporting Models (Notification),Success,"Defaults applied: isRead=false, priority=medium",
should reject invalid notification type,Shrey Shah,Complete,TC-021,2026-03-13,2026-03-13,Ensures invalid notification types are rejected by enum validation,Supporting Models (Notification),Success,ValidationError thrown for invalid_type notification type,
should create report with required fields,Ridham Shah,Complete,TC-022,2026-03-14,2026-03-16,"Validates Report creation with type, title, generatedBy, startDate, and endDate",Supporting Models (Report),Failure,Date serialization issue caused startDate to shift by one day due to UTC timezone offset conversion,"Fixed by explicitly setting timezone-aware ISO dates in test fixtures; added UTC normalization in Report schema pre-save hook; updated documentation on date handling conventions"
should create LoginAttempt with required email,Pranav Nair,Complete,TC-023,2026-03-09,2026-03-09,Tests LoginAttempt creation with email field and default success value,Supporting Models (LoginAttempt),Success,"LoginAttempt created with email stored correctly, default success=false applied",
should count registration attempts within time window,Atharv Dhuvad,Complete,TC-024,2026-03-16,2026-03-16,Validates that RegistrationAttempt documents can be queried within a 24-hour window,Supporting Models (RegistrationAttempt),Success,Count query correctly returns 3 attempts within the time window,
should generate a 40-character hex string,Ridham Shah,Complete,TC-025,2026-03-06,2026-03-06,Verifies 2FA secret generation produces a 40-char hex string from 20 random bytes,Business Logic (2FA),Success,Generated secret matches hex pattern and has length 40,
should generate a 6-digit TOTP code,Shrey Shah,Complete,TC-026,2026-03-08,2026-03-08,Tests TOTP code generation produces a zero-padded 6-digit numeric string,Business Logic (TOTP),Success,Generated code matches 6-digit numeric pattern,
should accept valid roles,Pranav Nair,Complete,TC-027,2026-03-10,2026-03-10,"Validates that all four valid roles (student, teacher, proctor, admin) pass validation",Business Logic (Role Validation),Success,All valid roles returned unchanged by validateRole function,
should calculate full score for all correct answers,Atharv Dhuvad,Complete,TC-028,2026-03-12,2026-03-12,Tests score calculation when all answers match correct answers,Business Logic (Score Calculation),Success,Full score of 30 correctly calculated from three correct answers (10+5+15),
should deduct 10 for high severity trust score penalty,Ridham Shah,Complete,TC-029,2026-03-15,2026-03-15,Validates trust score penalty of 10 points for high severity events,Business Logic (Trust Score),Success,Trust score correctly reduced from 100 to 90 for high severity,
should be within grace period if within 5 minutes after end,Shrey Shah,Complete,TC-030,2026-03-17,2026-03-17,Tests that submissions within 5 minutes after exam end are accepted,Business Logic (Grace Period),Success,isWithinGracePeriod returns true for time 4 minutes after end time,
should create a submission with required fields,Atharv Dhuvad,Complete,TC-031,2026-03-05,2026-03-05,Verifies Submission creation with examId and studentId,Submission Model,Success,Submission created with correct examId and studentId references,
should apply correct default values,Pranav Nair,Complete,TC-032,2026-03-07,2026-03-07,"Checks defaults for score, maxScore, status, tabSwitchCount, and proctoringScore",Submission Model,Success,"All defaults applied: score=0, status=in_progress, proctoringScore=100, isFlagged=false",
should calculate percentage correctly on save,Ridham Shah,Complete,TC-033,2026-03-11,2026-03-13,Tests pre-save hook percentage calculation from score and maxScore,Submission Model,Failure,Percentage calculated as NaN when maxScore was undefined instead of defaulting to 0,"Added null/undefined check in pre-save hook to default maxScore to 0 before division; added schema-level validation to ensure maxScore is a valid number; created edge-case test suite for percentage calculation"
should handle 100 percent score,Shrey Shah,Complete,TC-034,2026-03-14,2026-03-14,Validates percentage calculation when score equals maxScore,Submission Model,Success,"Percentage correctly calculated as 100 when score=50, maxScore=50",
should fail without examId,Atharv Dhuvad,Complete,TC-035,2026-03-09,2026-03-09,Validates that submission creation fails without examId,Submission Model,Success,ValidationError raised for missing required examId field,
should reject invalid proctoring event type,Pranav Nair,Complete,TC-036,2026-03-16,2026-03-16,Ensures invalid proctoring event types are rejected by enum validation,Submission Model,Success,ValidationError thrown for invalid_event proctoring event type,
should handle full exam lifecycle,Ridham Shah,Complete,TC-037,2026-03-06,2026-03-06,Tests complete flow: teacher creates exam then student submits then score is calculated,Integration Tests,Success,"Full lifecycle completed: exam totalPoints=20, submission percentage=75%",
should track trust score degradation through events,Shrey Shah,Complete,TC-038,2026-03-10,2026-03-12,Tests proctoring session event tracking and summary calculation across models,Integration Tests,Failure,Test failed due to MongoDB connection pool exhaustion when creating multiple related documents in rapid succession,"Increased connection pool size from 5 to 10 in test config; implemented sequential document creation with explicit await to prevent connection stampede; added connection pool monitoring to CI logs"
should track failed login attempts and lock account,Atharv Dhuvad,Complete,TC-039,2026-03-13,2026-03-13,Validates account locking workflow after 5 failed login attempts,Integration Tests,Success,Account correctly locked after 5 failures and properly reset after successful login,
should create notifications for flagged submissions,Pranav Nair,Complete,TC-040,2026-03-15,2026-03-15,Tests notification creation for both student and teacher on flagged submissions,Integration Tests,Success,Separate notifications created for student (exam_submitted) and teacher (flagged_submission),
should support multiple students submitting same exam,Ridham Shah,Complete,TC-041,2026-03-17,2026-03-17,Tests that 5 students can submit the same exam with different scores and percentages,Integration Tests,Success,"All 5 submissions created with correct percentages (0%, 20%, 40%, 60%, 80%)",
should return 401 when no authorization header,Shrey Shah,Complete,TC-042,2026-03-05,2026-03-05,Tests auth middleware returns 401 when request has no authorization header,Middleware (Auth),Success,"Middleware returns 401 with ""No token provided"" message and next() is not called",
should return 403 when token verification fails,Atharv Dhuvad,Complete,TC-043,2026-03-08,2026-03-10,Tests auth middleware returns 403 when Firebase token verification fails,Middleware (Auth),Failure,Mock function not properly reset between test runs causing false positive on token rejection,"Fixed by moving mockVerifyIdToken.mockReset() to beforeEach block; added explicit mock state verification before each assertion; documented mock lifecycle best practices for the team"
should call next and set req.user on valid token,Pranav Nair,Complete,TC-044,2026-03-12,2026-03-12,Validates successful token verification sets req.user and calls next(),Middleware (Auth),Success,req.user correctly populated with decoded token and next() called without error,
should extract token correctly from Bearer format,Ridham Shah,Complete,TC-045,2026-03-14,2026-03-14,Tests that token is correctly extracted from Bearer authorization header format,Middleware (Auth),Success,verifyIdToken called with exact token string after Bearer prefix extraction,
should export apiLimiter,Shrey Shah,Complete,TC-046,2026-03-16,2026-03-16,Verifies that apiLimiter is exported as a function from rateLimiter middleware,Middleware (Rate Limiter),Success,apiLimiter exported and confirmed as typeof function,
should export authLimiter,Atharv Dhuvad,Complete,TC-047,2026-03-11,2026-03-11,Verifies that authLimiter is exported as a function from rateLimiter middleware,Middleware (Rate Limiter),Success,authLimiter exported and confirmed as typeof function,
